Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP001002,Male,No,0,Graduate,No,479618,0,,360,1,Urban,Y
LP001003,Male,Yes,1,Graduate,No,375806,123656,10496,360,1,Rural,N
LP001005,Male,Yes,0,Graduate,Yes,246000,0,5412,360,1,Urban,Y
LP001006,Male,Yes,0,Not Graduate,No,211806,193356,9840,360,1,Urban,Y
LP001008,Male,No,0,Graduate,No,492000,0,11562,360,1,Urban,Y
LP001011,Male,Yes,2,Graduate,Yes,444194,344072,21894,360,1,Urban,Y
LP001013,Male,Yes,0,Not Graduate,No,191306,124312,7790,360,1,Urban,Y
LP001014,Male,Yes,3+,Graduate,No,248952,205328,12956,360,0,Semiurban,N
LP001018,Male,Yes,2,Graduate,No,328492,125132,13776,360,1,Urban,Y
LP001020,Male,Yes,1,Graduate,No,1052962,899376,28618,360,1,Semiurban,N
LP001024,Male,Yes,2,Graduate,No,262400,57400,5740,360,1,Urban,Y
LP001027,Male,Yes,2,Graduate,,205000,150880,8938,360,1,Urban,Y
LP001028,Male,Yes,2,Graduate,No,251986,664692,16400,360,1,Urban,Y
LP001029,Male,No,0,Graduate,No,151946,232880,9348,360,1,Rural,N
LP001030,Male,Yes,2,Graduate,No,106518,89052,1394,120,1,Urban,Y
LP001032,Male,No,0,Graduate,No,405900,0,10250,360,1,Urban,Y
LP001034,Male,No,1,Not Graduate,No,294872,0,8200,240,,Urban,Y
LP001036,Female,No,0,Graduate,No,287820,0,6232,360,0,Urban,N
LP001038,Male,Yes,0,Not Graduate,No,400734,0,10906,360,1,Rural,N
LP001041,Male,Yes,0,Graduate,,213200,287000,9430,,1,Urban,Y
LP001043,Male,Yes,0,Not Graduate,No,628120,0,8528,360,0,Urban,N
LP001046,Male,Yes,1,Graduate,No,488310,461250,25830,360,1,Urban,Y
LP001047,Male,Yes,0,Not Graduate,No,213200,156702,9512,360,0,Semiurban,N
LP001050,,Yes,2,Not Graduate,No,275930,157194,9184,360,0,Rural,N
LP001052,Male,Yes,1,Graduate,,304794,239850,12382,360,,Semiurban,N
LP001066,Male,Yes,0,Graduate,Yes,783920,0,15662,360,1,Semiurban,Y
LP001068,Male,Yes,0,Graduate,No,229518,184746,10004,360,1,Semiurban,Y
LP001073,Male,Yes,2,Not Graduate,No,346532,85280,9020,360,1,Urban,Y
LP001086,Male,No,0,Not Graduate,No,118244,0,2870,360,1,Urban,N
LP001087,Female,No,2,Graduate,,307500,170806,9840,360,1,Semiurban,Y
LP001091,Male,Yes,1,Graduate,,341612,276258,16482,360,,Urban,N
LP001095,Male,No,0,Graduate,No,259694,0,6068,360,1,Urban,N
LP001097,Male,No,1,Graduate,Yes,384744,0,8692,360,1,Rural,N
LP001098,Male,Yes,0,Graduate,No,287000,136694,9348,360,1,Semiurban,Y
LP001100,Male,No,3+,Graduate,No,1025000,246000,26240,360,1,Rural,N
LP001106,Male,Yes,0,Graduate,No,186550,169494,,360,1,Urban,Y
LP001109,Male,Yes,0,Graduate,No,149896,109060,8200,,0,Urban,N
LP001112,Female,Yes,0,Graduate,No,300694,119638,11808,360,1,Semiurban,Y
LP001114,Male,No,0,Graduate,No,341612,591220,15088,360,1,Urban,Y
LP001116,Male,No,0,Not Graduate,No,307336,136776,9020,360,1,Semiurban,Y
LP001119,Male,No,0,Graduate,No,295200,0,6560,360,1,Urban,N
LP001120,Male,No,0,Graduate,No,147600,99466,3854,360,1,Urban,Y
LP001123,Male,Yes,0,Graduate,No,196800,0,6150,360,,Urban,Y
LP001131,Male,Yes,0,Graduate,No,323162,191552,10988,360,1,Semiurban,Y
LP001136,Male,Yes,0,Not Graduate,Yes,384990,0,7872,,1,Urban,Y
LP001137,Female,No,0,Graduate,No,279620,0,7216,,1,Urban,Y
LP001138,Male,Yes,1,Graduate,No,463218,0,3608,360,1,Urban,Y
LP001144,Male,Yes,0,Graduate,No,477322,0,11808,360,1,Urban,Y
LP001146,Female,Yes,0,Graduate,No,216890,282080,9840,360,0,Urban,N
LP001151,Female,No,0,Graduate,No,328000,186550,11808,360,1,Semiurban,Y
LP001155,Female,Yes,0,Not Graduate,No,158096,134808,8200,360,1,Semiurban,Y
LP001157,Female,No,0,Graduate,No,253052,0,9840,360,1,Semiurban,Y
LP001164,Female,No,0,Graduate,No,346860,0,9184,360,1,Semiurban,N
LP001179,Male,Yes,2,Graduate,No,378512,0,10988,360,1,Urban,N
LP001186,Female,Yes,1,Graduate,Yes,943000,0,23452,360,0,Urban,N
LP001194,Male,Yes,2,Graduate,No,222056,95694,7954,360,1,Semiurban,Y
LP001195,Male,Yes,0,Graduate,No,174824,130462,7872,360,1,Semiurban,Y
LP001197,Male,Yes,0,Graduate,No,276012,180400,11070,360,1,Rural,N
LP001198,Male,Yes,1,Graduate,No,662560,184500,14760,360,1,Urban,Y
LP001199,Male,Yes,2,Not Graduate,No,275274,234438,11808,360,1,Urban,Y
LP001205,Male,Yes,0,Graduate,No,205000,311272,9840,360,1,Urban,Y
LP001206,Male,Yes,3+,Graduate,No,248378,0,8118,360,1,Urban,Y
LP001207,Male,Yes,0,Not Graduate,Yes,213938,282818,13530,180,0,Rural,N
LP001213,Male,Yes,1,Graduate,No,405490,0,,360,0,Rural,N
LP001222,Female,No,0,Graduate,No,341612,0,9512,360,0,Semiurban,N
LP001225,Male,Yes,0,Graduate,No,469532,376790,21156,360,1,Semiurban,N
LP001228,Male,No,0,Not Graduate,No,262400,184828,10332,180,0,Urban,N
LP001233,Male,Yes,1,Graduate,No,881500,0,25584,360,1,Urban,Y
LP001238,Male,Yes,3+,Not Graduate,Yes,582200,0,10250,60,1,Urban,Y
LP001241,Female,No,0,Graduate,No,352600,0,11152,360,0,Semiurban,N
LP001243,Male,Yes,0,Graduate,No,263056,251412,14104,360,1,Urban,Y
LP001245,Male,Yes,2,Not Graduate,Yes,153750,153750,7954,360,1,Semiurban,Y
LP001248,Male,No,0,Graduate,No,287000,0,6642,300,1,Semiurban,Y
LP001250,Male,Yes,3+,Not Graduate,No,389910,0,7790,,0,Semiurban,N
LP001253,Male,Yes,3+,Graduate,Yes,431812,145468,15334,360,1,Semiurban,Y
LP001255,Male,No,0,Graduate,No,307500,0,9266,480,1,Urban,N
LP001256,Male,No,0,Graduate,No,307500,389500,14432,360,1,Urban,N
LP001259,Male,Yes,1,Graduate,Yes,82000,247804,9020,360,1,Urban,N
LP001263,Male,Yes,3+,Graduate,No,259694,328000,14760,300,0,Semiurban,N
LP001264,Male,Yes,3+,Not Graduate,Yes,273306,177612,10660,360,,Semiurban,Y
LP001265,Female,No,0,Graduate,No,315372,0,9102,360,1,Semiurban,Y
LP001266,Male,Yes,1,Graduate,Yes,196390,0,,360,1,Semiurban,Y
LP001267,Female,Yes,2,Graduate,No,112996,154242,13694,360,1,Urban,N
LP001273,Male,Yes,0,Graduate,No,492000,184500,21730,360,,Semiurban,N
LP001275,Male,Yes,1,Graduate,No,327016,0,4100,240,1,Urban,Y
LP001279,Male,No,0,Graduate,No,194012,207542,11152,360,1,Semiurban,Y
LP001280,Male,Yes,2,Not Graduate,No,273306,164000,8118,360,,Semiurban,Y
LP001282,Male,Yes,0,Graduate,No,205000,173676,8528,360,1,Semiurban,Y
LP001289,Male,No,0,Graduate,No,702412,0,17220,360,1,Urban,Y
LP001310,Male,Yes,0,Graduate,No,466990,341694,14350,360,1,Semiurban,Y
LP001316,Male,Yes,0,Graduate,No,242556,237800,10742,360,1,Semiurban,Y
LP001318,Male,Yes,2,Graduate,No,512500,463628,15416,180,1,Semiurban,Y
LP001319,Male,Yes,2,Not Graduate,No,268386,149240,6642,360,1,Urban,Y
LP001322,Male,No,0,Graduate,No,338906,0,10004,360,1,Semiurban,Y
LP001325,Male,No,0,Not Graduate,No,296840,0,2050,120,1,Semiurban,Y
LP001326,Male,No,0,Graduate,,556124,0,,360,,Urban,N
LP001327,Female,Yes,0,Graduate,No,203688,188764,11234,360,1,Semiurban,Y
LP001333,Male,Yes,0,Graduate,No,162114,81754,4100,360,1,Semiurban,Y
LP001334,Male,Yes,0,Not Graduate,No,343416,0,9430,180,1,Semiurban,Y
LP001343,Male,Yes,0,Graduate,No,144238,290362,10742,360,1,Semiurban,Y
LP001345,Male,Yes,2,Not Graduate,No,351616,267566,10906,180,1,Urban,Y
LP001349,Male,No,0,Graduate,No,397126,312092,12382,360,1,Semiurban,Y
LP001350,Male,Yes,,Graduate,No,1119300,0,,360,1,Urban,Y
LP001356,Male,Yes,0,Graduate,No,381464,293806,,360,1,Semiurban,Y
LP001357,Male,,,Graduate,No,312912,61828,13120,360,1,Urban,Y
LP001367,Male,Yes,1,Graduate,No,250264,84460,8200,360,1,Urban,Y
LP001369,Male,Yes,2,Graduate,No,936194,92332,18450,360,1,Urban,Y
LP001370,Male,No,0,Not Graduate,,601306,0,9840,360,1,Rural,N
LP001379,Male,Yes,2,Graduate,No,311600,295200,17712,360,0,Urban,N
LP001384,Male,Yes,3+,Not Graduate,No,169822,61828,7708,480,1,Semiurban,Y
LP001385,Male,No,0,Graduate,No,435912,0,11152,360,1,Urban,Y
LP001387,Female,Yes,0,Graduate,,240178,191306,11398,360,1,Semiurban,Y
LP001391,Male,Yes,0,Not Graduate,No,292904,337348,12464,,0,Rural,N
LP001392,Female,No,1,Graduate,Yes,610982,0,,360,1,Semiurban,Y
LP001398,Male,No,0,Graduate,,414100,0,9676,360,1,Semiurban,Y
LP001401,Male,Yes,1,Graduate,No,1195806,0,15170,180,1,Rural,Y
LP001404,Female,Yes,0,Graduate,No,259694,187206,12628,360,1,Semiurban,Y
LP001405,Male,Yes,1,Graduate,No,181548,114636,6970,360,,Urban,Y
LP001421,Male,Yes,0,Graduate,No,456576,175644,14350,360,1,Rural,N
LP001422,Female,No,0,Graduate,No,853456,0,21238,360,1,Urban,Y
LP001426,Male,Yes,,Graduate,No,464694,218694,14760,360,1,Rural,Y
LP001430,Female,No,0,Graduate,No,341612,0,3608,360,1,Semiurban,Y
LP001431,Female,No,0,Graduate,No,175234,736360,11234,360,0,Semiurban,Y
LP001432,Male,Yes,2,Graduate,No,242474,0,6642,360,1,Semiurban,Y
LP001439,Male,Yes,0,Not Graduate,No,352600,165148,15908,360,1,Rural,Y
LP001443,Female,No,0,Graduate,No,302744,0,7626,360,,Rural,Y
LP001448,,Yes,3+,Graduate,No,1951846,0,30340,360,1,Rural,Y
LP001449,Male,No,0,Graduate,No,316930,134480,,360,1,Rural,Y
LP001451,Male,Yes,1,Graduate,Yes,862066,315700,13120,180,0,Urban,N
LP001465,Male,Yes,0,Graduate,No,498560,210658,14924,360,,Rural,N
LP001469,Male,No,0,Graduate,Yes,1653612,0,53300,480,,Urban,Y
LP001473,Male,No,0,Graduate,No,165148,158178,6068,360,1,Urban,Y
LP001478,Male,No,0,Graduate,No,222876,0,5740,360,1,Semiurban,Y
LP001482,Male,Yes,0,Graduate,Yes,283638,0,2050,120,1,Semiurban,Y
LP001487,Male,No,0,Graduate,No,401390,0,8364,360,1,Semiurban,Y
LP001488,Male,Yes,3+,Graduate,No,328000,635500,23780,360,1,Semiurban,N
LP001489,Female,Yes,0,Graduate,No,375806,0,6888,360,1,Rural,N
LP001491,Male,Yes,2,Graduate,Yes,271912,287000,7216,360,1,Urban,Y
LP001492,Male,No,0,Graduate,No,1229918,0,19844,360,0,Semiurban,N
LP001493,Male,Yes,2,Not Graduate,No,344400,117260,10578,360,1,Rural,N
LP001497,Male,Yes,2,Graduate,No,413444,170806,15170,360,1,Rural,N
LP001498,Male,No,0,Graduate,No,444194,0,13776,360,1,Urban,Y
LP001504,Male,No,0,Graduate,Yes,569900,0,14350,180,1,Semiurban,Y
LP001507,Male,Yes,0,Graduate,No,221236,166788,10004,360,1,Semiurban,Y
LP001508,Male,Yes,2,Graduate,No,964074,0,15334,180,1,Urban,Y
LP001514,Female,Yes,0,Graduate,No,191060,367852,8200,360,1,Semiurban,Y
LP001516,Female,Yes,2,Graduate,No,1219012,0,5740,360,1,Urban,Y
LP001518,Male,Yes,1,Graduate,No,126116,116850,2460,360,1,Urban,Y
LP001519,Female,No,0,Graduate,No,820000,136612,18450,360,1,Rural,N
LP001520,Male,Yes,0,Graduate,No,398520,68060,10250,360,1,Semiurban,Y
LP001528,Male,No,0,Graduate,No,514714,0,9676,360,0,Rural,N
LP001529,Male,Yes,0,Graduate,Yes,211314,307500,12464,360,1,Rural,Y
LP001531,Male,No,0,Graduate,No,751612,0,20008,360,1,Urban,N
LP001532,Male,Yes,2,Not Graduate,No,187042,0,9266,360,1,Rural,N
LP001535,Male,No,0,Graduate,No,266828,0,4100,360,1,Urban,Y
LP001536,Male,Yes,3+,Graduate,No,3279918,0,49200,180,0,Semiurban,Y
LP001541,Male,Yes,1,Graduate,No,492000,0,13120,360,,Rural,Y
LP001543,Male,Yes,1,Graduate,No,782116,0,15334,360,1,Urban,Y
LP001546,Male,No,0,Graduate,,244360,170806,9840,360,1,Rural,Y
LP001552,Male,Yes,0,Graduate,No,375806,461250,20910,360,1,Semiurban,Y
LP001560,Male,Yes,0,Not Graduate,No,152766,85362,8036,360,1,Semiurban,Y
LP001562,Male,Yes,0,Graduate,No,650506,0,22550,360,1,Urban,N
LP001565,Male,Yes,1,Graduate,No,253298,104960,9922,360,0,Semiurban,N
LP001570,Male,Yes,2,Graduate,No,341694,118654,12956,360,1,Rural,Y
LP001572,Male,Yes,0,Graduate,No,764486,0,6150,180,1,Urban,Y
LP001574,Male,Yes,0,Graduate,No,303974,259612,14924,,1,Rural,Y
LP001577,Female,Yes,0,Graduate,No,375806,0,9184,360,1,Rural,N
LP001578,Male,Yes,0,Graduate,No,199998,273306,10578,360,1,Rural,Y
LP001579,Male,No,0,Graduate,No,183434,0,5166,480,0,Semiurban,N
LP001580,Male,Yes,2,Graduate,No,656000,0,16400,360,1,Semiurban,Y
LP001581,Male,Yes,0,Not Graduate,,149240,145058,7790,360,1,Rural,Y
LP001585,,Yes,3+,Graduate,No,4244566,0,57400,300,1,Urban,Y
LP001586,Male,Yes,3+,Not Graduate,No,288804,0,6642,180,1,Rural,N
LP001594,Male,Yes,0,Graduate,No,468056,461250,15334,360,1,Semiurban,Y
LP001603,Male,Yes,0,Not Graduate,Yes,356208,60352,7134,360,1,Semiurban,N
LP001606,Male,Yes,0,Graduate,No,286754,161048,9512,360,1,Rural,Y
LP001608,Male,Yes,2,Graduate,No,167690,132758,8282,360,1,Rural,Y
LP001610,Male,Yes,3+,Graduate,No,452312,926600,40590,360,0,Semiurban,N
LP001616,Male,Yes,1,Graduate,No,307500,0,9512,360,1,Semiurban,Y
LP001630,Male,No,0,Not Graduate,No,191306,118982,8364,480,0,Urban,N
LP001633,Male,Yes,1,Graduate,No,524800,594500,14760,360,0,Urban,N
LP001634,Male,No,0,Graduate,No,157112,415166,5494,360,,Rural,N
LP001636,Male,Yes,0,Graduate,No,377200,0,5986,180,1,Semiurban,Y
LP001637,Male,Yes,1,Graduate,No,2775372,0,21320,360,1,Semiurban,N
LP001639,Female,Yes,0,Graduate,No,297250,0,8856,360,1,Semiurban,Y
LP001640,Male,Yes,0,Graduate,Yes,3210054,389500,9840,360,1,Semiurban,Y
LP001641,Male,Yes,1,Graduate,Yes,178596,0,5412,300,0,Rural,N
LP001643,Male,Yes,0,Graduate,No,195406,175316,4756,360,,Rural,Y
LP001644,,Yes,0,Graduate,Yes,55268,434272,13776,360,1,Rural,Y
LP001647,Male,Yes,0,Graduate,No,764896,0,15416,180,1,Rural,Y
LP001653,Male,No,0,Not Graduate,No,400570,0,3936,360,1,Rural,Y
LP001656,Male,No,0,Graduate,No,984000,0,13448,360,1,Semiurban,N
LP001657,Male,Yes,0,Not Graduate,No,494706,0,13120,360,1,Urban,N
LP001658,Male,No,0,Graduate,No,316356,0,6232,360,1,Semiurban,Y
LP001664,Male,No,0,Graduate,No,343662,0,9840,360,1,Rural,Y
LP001665,Male,Yes,1,Graduate,No,256250,211806,13940,360,1,Semiurban,N
LP001666,Male,No,0,Graduate,No,683306,307500,15334,360,1,Rural,Y
LP001669,Female,No,0,Not Graduate,No,156374,193930,9840,,1,Urban,Y
LP001671,Female,Yes,0,Graduate,No,280112,230912,9266,360,,Semiurban,Y
LP001673,Male,No,0,Graduate,Yes,902000,0,6806,360,1,Urban,N
LP001674,Male,Yes,1,Not Graduate,No,213200,205000,7380,360,1,Semiurban,Y
LP001677,Male,No,2,Graduate,No,403686,0,13612,360,0,Semiurban,Y
LP001682,Male,Yes,3+,Not Graduate,No,327344,0,,180,1,Urban,N
LP001688,Male,Yes,1,Not Graduate,No,287000,88806,11070,360,1,Urban,Y
LP001691,Male,Yes,2,Not Graduate,No,321194,0,10168,360,1,Semiurban,Y
LP001692,Female,No,0,Not Graduate,No,361456,0,9840,360,1,Semiurban,Y
LP001693,Female,No,0,Graduate,No,266008,0,6560,360,1,Urban,Y
LP001698,Male,No,0,Not Graduate,No,325950,207542,4510,360,1,Rural,Y
LP001699,Male,No,0,Graduate,No,203278,0,4838,360,1,Urban,Y
LP001702,Male,No,0,Graduate,No,280276,0,10414,360,1,Semiurban,N
LP001708,Female,No,0,Graduate,No,820000,0,17548,360,1,Semiurban,N
LP001711,Male,Yes,3+,Graduate,No,281260,102500,10496,360,0,Semiurban,N
LP001713,Male,Yes,1,Graduate,Yes,638534,0,19680,360,1,Urban,Y
LP001715,Male,Yes,3+,Not Graduate,Yes,467646,0,10660,360,1,Rural,Y
LP001716,Male,Yes,0,Graduate,No,260186,247722,11234,360,1,Urban,Y
LP001720,Male,Yes,3+,Not Graduate,No,315700,80606,8200,360,1,Semiurban,Y
LP001722,Male,Yes,0,Graduate,No,12300,147600,11070,360,1,Rural,N
LP001726,Male,Yes,0,Graduate,No,305614,145550,10742,360,1,Semiurban,Y
LP001732,Male,Yes,2,Graduate,,410000,0,5904,360,0,Semiurban,N
LP001734,Female,Yes,2,Graduate,No,351206,195406,10414,360,,Semiurban,Y
LP001736,Male,Yes,0,Graduate,No,182122,0,4920,360,0,Urban,N
LP001743,Male,Yes,2,Graduate,No,328738,140794,9512,360,1,Semiurban,Y
LP001744,Male,No,0,Graduate,No,243622,228862,11808,360,1,Semiurban,Y
LP001749,Male,Yes,0,Graduate,No,621396,82820,14350,,1,Semiurban,Y
LP001750,Male,Yes,0,Graduate,No,512500,0,10496,360,1,Semiurban,Y
LP001751,Male,Yes,0,Graduate,No,266500,0,13940,360,1,Rural,N
LP001754,Male,Yes,,Not Graduate,Yes,388270,0,11316,360,1,Urban,N
LP001758,Male,Yes,2,Graduate,No,512500,138990,17220,360,1,Semiurban,Y
LP001760,Male,,,Graduate,No,390156,0,12956,480,1,Semiurban,Y
LP001761,Male,No,0,Graduate,Yes,524800,0,16400,360,1,Rural,Y
LP001765,Male,Yes,1,Graduate,No,204262,168428,8528,360,1,Semiurban,Y
LP001768,Male,Yes,0,Graduate,,304712,0,3444,180,1,Rural,Y
LP001770,Male,No,0,Not Graduate,No,261498,213036,9840,,1,Rural,Y
LP001776,Female,No,0,Graduate,No,683306,0,22960,360,1,Semiurban,Y
LP001778,Male,Yes,1,Graduate,No,258710,145878,11480,360,1,Semiurban,Y
LP001784,Male,Yes,1,Graduate,No,451000,103320,13940,360,1,Rural,Y
LP001786,Male,Yes,0,Graduate,,471172,0,20910,360,,Urban,N
LP001788,Female,No,0,Graduate,Yes,283966,0,10004,360,,Urban,Y
LP001790,Female,No,1,Graduate,No,312584,0,9184,360,1,Rural,Y
LP001792,Male,Yes,1,Graduate,No,271830,0,7872,360,1,Semiurban,Y
LP001798,Male,Yes,2,Graduate,No,477158,410000,9840,360,1,Rural,Y
LP001800,Male,Yes,1,Not Graduate,No,205820,162606,11480,180,1,Urban,N
LP001806,Male,No,0,Graduate,No,243130,467482,12710,60,1,Urban,Y
LP001807,Male,Yes,2,Graduate,Yes,512500,106600,8856,360,1,Rural,Y
LP001811,Male,Yes,0,Not Graduate,No,279292,362194,10086,360,1,Semiurban,Y
LP001813,Male,No,0,Graduate,Yes,496100,355306,9840,180,1,Urban,N
LP001814,Male,Yes,2,Graduate,No,795646,0,9184,360,1,Urban,Y
LP001819,Male,Yes,1,Not Graduate,No,541856,0,11234,180,1,Urban,Y
LP001824,Male,Yes,1,Graduate,No,236324,151126,10086,480,1,Semiurban,Y
LP001825,Male,Yes,0,Graduate,No,148338,153176,7380,360,1,Urban,Y
LP001835,Male,Yes,0,Not Graduate,No,136776,318980,16482,360,0,Semiurban,N
LP001836,Female,No,2,Graduate,No,281014,0,11316,360,1,Urban,N
LP001841,Male,No,0,Not Graduate,Yes,211806,177694,8528,360,1,Rural,Y
LP001843,Male,Yes,1,Not Graduate,No,218202,582282,22878,180,1,Semiurban,Y
LP001844,Male,No,0,Graduate,Yes,1332500,0,15744,360,0,Urban,N
LP001846,Female,No,3+,Graduate,No,252806,0,20910,360,1,Rural,Y
LP001849,Male,No,0,Not Graduate,No,495690,0,9430,360,0,Rural,N
LP001854,Male,Yes,3+,Graduate,No,430500,0,7708,360,1,Urban,N
LP001859,Male,Yes,0,Graduate,No,1204006,172200,24928,360,1,Rural,N
LP001864,Male,Yes,3+,Not Graduate,No,404342,0,10496,360,,Semiurban,N
LP001865,Male,Yes,1,Graduate,No,498806,348500,27060,360,,Urban,Y
LP001868,Male,No,0,Graduate,No,168920,181138,10988,360,1,Semiurban,Y
LP001870,Female,No,1,Graduate,No,285442,0,12710,36,1,Semiurban,N
LP001871,Female,No,0,Graduate,No,590400,0,9840,360,1,Rural,Y
LP001872,Male,No,0,Graduate,Yes,423612,0,10496,360,1,Semiurban,Y
LP001875,Male,No,0,Graduate,No,335790,282654,12382,360,1,Rural,Y
LP001877,Male,Yes,2,Graduate,No,386056,113734,12300,360,1,Semiurban,Y
LP001882,Male,Yes,3+,Graduate,No,355306,148502,13120,360,0,Urban,Y
LP001883,Female,No,0,Graduate,,280276,0,11070,360,1,Rural,N
LP001884,Female,No,1,Graduate,No,235832,127920,7380,360,1,Urban,Y
LP001888,Female,No,0,Graduate,No,265434,0,2460,360,1,Urban,Y
LP001891,Male,Yes,0,Graduate,No,913972,0,11152,360,1,Urban,Y
LP001892,Male,No,0,Graduate,No,232306,152274,10332,360,1,Rural,Y
LP001894,Male,Yes,0,Graduate,No,214840,182286,12300,360,1,Semiurban,Y
LP001896,Male,Yes,2,Graduate,No,319800,0,7380,360,1,Semiurban,Y
LP001900,Male,Yes,1,Graduate,No,225500,151044,9430,360,1,Semiurban,Y
LP001903,Male,Yes,0,Graduate,No,327426,268468,16974,360,1,Semiurban,Y
LP001904,Male,Yes,0,Graduate,No,254446,106600,6560,360,1,Urban,Y
LP001907,Male,Yes,0,Graduate,No,1195806,0,35752,360,1,Semiurban,Y
LP001908,Female,Yes,0,Not Graduate,No,336200,0,10168,360,,Rural,Y
LP001910,Male,No,1,Not Graduate,Yes,332346,198932,12956,360,0,Urban,N
LP001914,Male,Yes,0,Graduate,No,322014,65600,9184,360,1,Semiurban,Y
LP001915,Male,Yes,2,Graduate,No,188682,80835.599,6396,180,1,Urban,Y
LP001917,Female,No,0,Graduate,No,148502,136612,4428,360,1,Urban,Y
LP001922,Male,Yes,0,Graduate,No,1694694,0,,360,1,Rural,N
LP001924,Male,No,0,Graduate,No,258956,250346,7298,360,1,Rural,Y
LP001925,Female,No,0,Graduate,Yes,213200,140794,8118,300,1,Semiurban,N
LP001926,Male,Yes,0,Graduate,No,303728,164000,9840,360,1,Rural,Y
LP001931,Female,No,0,Graduate,No,338168,0,9430,360,1,Semiurban,Y
LP001935,Male,No,0,Graduate,No,779656,0,15334,360,1,Rural,Y
LP001936,Male,Yes,0,Graduate,No,252150,198112,11398,360,1,Rural,Y
LP001938,Male,Yes,2,Graduate,No,360800,0,10414,360,0,Semiurban,N
LP001940,Male,Yes,2,Graduate,No,258546,127920,10988,360,1,Urban,Y
LP001945,Female,No,,Graduate,No,444194,0,11726,480,0,Urban,N
LP001947,Male,Yes,0,Graduate,No,195406,273388,14104,360,1,Semiurban,Y
LP001949,Male,Yes,3+,Graduate,,362112,102500,9020,360,1,Urban,Y
LP001953,Male,Yes,1,Graduate,No,563750,0,16400,360,1,Semiurban,Y
LP001954,Female,Yes,1,Graduate,No,382612,0,11070,360,1,Urban,Y
LP001955,Female,No,0,Graduate,No,410000,208362,12382,480,1,Rural,N
LP001963,Male,Yes,1,Graduate,No,165148,239850,9266,360,1,Urban,N
LP001964,Male,Yes,0,Not Graduate,No,147600,240588,7626,360,0,Urban,N
LP001972,Male,Yes,,Not Graduate,No,235750,143500,8610,360,1,Semiurban,Y
LP001974,Female,No,0,Graduate,No,410000,0,10824,360,1,Rural,Y
LP001977,Male,Yes,1,Graduate,No,133250,147846,7872,360,1,Urban,Y
LP001978,Male,No,0,Graduate,No,328000,205000,11480,360,1,Rural,Y
LP001990,Male,No,0,Not Graduate,No,164000,0,,360,1,Urban,N
